subject, run, block, trial, mu1, mu2, r1, r2, choice, reward, RT, cond, trial_onset, choice_onset, feedback_onset 
1,2.0,6.0,8.0,4.0,4.0,4.0,4.0,1.0,4.0,354.172945023,4,204.020004988,204.413769007,206.330291033
1,2.0,6.0,9.0,4.0,4.0,4.0,4.0,1.0,4.0,454.216957092,4,215.832298994,216.326976061,217.993598938
1,2.0,6.0,10.0,4.0,4.0,4.0,4.0,1.0,4.0,420.938014984,4,225.66288805,226.124206066,228.473999023
1,2.0,7.0,1.0,12.0,6.0,15.0,6.0,2.0,6.0,1372.11298943,1,242.20994997,243.619152069,245.585733891
1,2.0,7.0,2.0,12.0,6.0,8.0,6.0,1.0,8.0,320.97196579,1,253.038638115,253.399600983,256.316387892
1,2.0,7.0,3.0,12.0,6.0,11.0,6.0,2.0,6.0,370.852947235,1,264.817404985,265.22939992,268.213040113
1,2.0,7.0,4.0,12.0,6.0,3.0,6.0,1.0,3.0,420.54104805,1,277.297372103,277.758872986,278.843245029
1,2.0,7.0,5.0,12.0,6.0,10.0,6.0,2.0,6.0,620.650053024,1,287.561214924,288.222948074,290.156163931
1,2.0,7.0,6.0,12.0,6.0,11.0,6.0,2.0,6.0,520.792007446,1,298.991485119,299.552989006,301.519512892
1,2.0,7.0,7.0,12.0,6.0,6.0,6.0,2.0,6.0,554.070949554,1,310.821947098,311.416337013,313.699466944
1,2.0,7.0,8.0,12.0,6.0,15.0,6.0,2.0,6.0,387.554168701,1,322.801528931,323.229568005,326.045836926
1,2.0,7.0,9.0,12.0,6.0,13.0,6.0,2.0,6.0,487.569093704,1,334.331649065,334.859500885,336.692707062
1,2.0,7.0,10.0,12.0,6.0,10.0,6.0,2.0,6.0,403.498888016,1,345.928272009,346.372814894,348.039457083
1,2.0,8.0,1.0,-0.0,-0.0,1.0,-1.0,1.0,1.0,655.613899231,3,361.961981058,362.651541948,364.70146203
1,2.0,8.0,2.0,-0.0,-0.0,-5.0,4.0,1.0,-5.0,354.083061218,3,373.705190897,374.098360062,376.614677906
1,2.0,8.0,3.0,-0.0,-0.0,-1.0,-3.0,2.0,-3.0,336.097002029,3,384.600609064,384.978472948,387.928148031
1,2.0,8.0,4.0,-0.0,-0.0,-1.0,-4.0,2.0,-4.0,420.715808868,3,396.8472929,397.308450937,399.991518974
1,2.0,8.0,5.0,-0.0,-0.0,1.0,-4.0,1.0,1.0,388.089179993,3,408.993638992,409.421521902,412.087968111
1,2.0,8.0,6.0,-0.0,-0.0,6.0,12.0,2.0,12.0,348.873138428,3,420.707796097,421.10026598,423.667500973
1,2.0,8.0,7.0,-0.0,-0.0,9.0,8.0,2.0,8.0,404.191970825,3,431.353909969,431.798376083,433.431708097
1,2.0,8.0,8.0,-0.0,-0.0,0.0,-4.0,2.0,-4.0,387.414932251,3,441.017906904,441.445815086,442.462683916
1,2.0,8.0,9.0,-0.0,-0.0,-1.0,6.0,1.0,-1.0,521.012067795,3,451.764683962,452.325927973,454.659117937
1,2.0,8.0,10.0,-0.0,-0.0,-1.0,6.0,1.0,-1.0,367.011070251,3,462.528551102,462.939552069,464.972729921
1,3.0,9.0,1.0,-5.0,3.0,-5.0,-8.0,1.0,-5.0,1122.20215797,2,17.0324339867,18.1906790733,21.0075781345
1,3.0,9.0,2.0,-5.0,3.0,-5.0,2.0,2.0,2.0,387.715101242,2,27.2440600395,27.6713061333,30.5865991116
1,3.0,9.0,3.0,-5.0,3.0,-5.0,16.0,2.0,16.0,354.010105133,2,38.0396931171,38.4349651337,40.3353700638
1,3.0,9.0,4.0,-5.0,3.0,-5.0,3.0,2.0,3.0,338.138103485,2,49.6696410179,50.0482780933,51.7148549557
1,3.0,9.0,5.0,-5.0,3.0,-5.0,2.0,2.0,2.0,404.185056686,2,59.2501580715,59.6954619884,60.8461260796
1,3.0,9.0,6.0,-5.0,3.0,-5.0,3.0,2.0,3.0,470.815896988,2,69.9308791161,70.4426450729,72.573882103
1,3.0,9.0,7.0,-5.0,3.0,-5.0,13.0,2.0,13.0,337.605953217,2,81.4776320457,81.8558521271,84.0223691463
1,3.0,9.0,8.0,-5.0,3.0,-5.0,6.0,2.0,6.0,587.373018265,2,91.5250139236,92.1528561115,94.0861260891
1,3.0,9.0,9.0,-5.0,3.0,-5.0,1.0,2.0,1.0,387.544155121,2,102.405208111,102.833217144,105.59949398
1,3.0,9.0,10.0,-5.0,3.0,-5.0,5.0,2.0,5.0,387.552976608,2,113.369141102,113.796870947,115.896711111
1,3.0,10.0,1.0,0.0,17.0,0.0,17.0,2.0,17.0,1238.84391785,4,129.62270093,130.891324043,132.841812134
1,3.0,10.0,2.0,0.0,17.0,0.0,17.0,1.0,0.0,370.928049088,4,140.311790943,140.722435951,141.855801105
1,3.0,10.0,3.0,0.0,17.0,0.0,17.0,2.0,17.0,370.847940445,4,150.424958944,150.836209059,153.684270144
1,3.0,10.0,4.0,0.0,17.0,0.0,17.0,2.0,17.0,387.614011765,4,162.753057003,163.182613134,164.347705126
1,3.0,10.0,5.0,0.0,17.0,0.0,17.0,2.0,17.0,370.820999146,4,173.235157013,173.64626193,176.429221153
1,3.0,10.0,6.0,0.0,17.0,0.0,17.0,2.0,17.0,1083.42289925,4,184.248599052,185.375921011,186.859470129
1,3.0,10.0,7.0,0.0,17.0,0.0,17.0,2.0,17.0,404.053926468,4,195.34561801,195.790158033,197.873337984
1,3.0,10.0,8.0,0.0,17.0,0.0,17.0,2.0,17.0,420.647144318,4,207.009616137,207.469933987,209.786503077
1,3.0,10.0,9.0,0.0,17.0,0.0,17.0,2.0,17.0,587.314844131,4,218.872195005,219.499791145,221.166302919
1,3.0,10.0,10.0,0.0,17.0,0.0,17.0,2.0,17.0,370.99981308,4,229.502228975,229.913464069,232.396686077
1,3.0,11.0,1.0,-1.0,-10.0,1.0,-10.0,1.0,1.0,489.357948303,3,246.082533121,246.607172966,248.058840036
1,3.0,11.0,2.0,-1.0,-10.0,1.0,-13.0,1.0,1.0,354.225158691,3,257.245872021,257.638909101,259.203947067
1,3.0,11.0,3.0,-1.0,-10.0,2.0,-11.0,2.0,-11.0,337.46099472,3,267.82310915,268.202265024,270.485593081
1,3.0,11.0,4.0,-1.0,-10.0,4.0,-8.0,1.0,4.0,387.542009354,3,279.221609116,279.649385929,281.249419928
1,3.0,11.0,5.0,-1.0,-10.0,-7.0,-13.0,1.0,-7.0,354.432106018,3,290.30162096,290.696167946,292.012843132
1,3.0,11.0,6.0,-1.0,-10.0,-4.0,-16.0,1.0,-4.0,354.25901413,3,300.781970978,301.176476002,303.642987013
1,3.0,11.0,7.0,-1.0,-10.0,-1.0,-12.0,2.0,-12.0,420.977115631,3,312.828570127,313.289695024,315.92267108
1,3.0,11.0,8.0,-1.0,-10.0,-2.0,-6.0,1.0,-2.0,333.950996399,3,325.308498144,325.686218023,327.236150026
1,3.0,11.0,9.0,-1.0,-10.0,-0.0,-10.0,1.0,-0.0,337.079048157,3,336.521435022,336.899573088,338.982797146
1,3.0,11.0,10.0,-1.0,-10.0,2.0,-13.0,1.0,2.0,352.558851242,3,347.935140133,348.329644918,350.179525137
1,3.0,12.0,1.0,13.0,-0.0,8.0,-0.0,2.0,-0.0,1538.87081146,1,365.098263979,366.674499035,369.041465044
1,3.0,12.0,2.0,13.0,-0.0,17.0,-0.0,1.0,17.0,387.490987778,1,376.561890125,376.988152981,379.571641922
1,3.0,12.0,3.0,13.0,-0.0,11.0,-0.0,1.0,11.0,339.069128036,1,387.689661026,388.068284035,390.835041046
1,3.0,12.0,4.0,13.0,-0.0,9.0,-0.0,1.0,9.0,337.462186813,1,400.053449154,400.431352139,402.298031092
1,3.0,12.0,5.0,13.0,-0.0,18.0,-0.0,1.0,18.0,354.783058167,1,410.567379951,410.961660147,412.744988918
1,3.0,12.0,6.0,13.0,-0.0,17.0,-0.0,1.0,17.0,283.6561203,1,420.481161118,420.808660984,422.958766937
1,3.0,12.0,7.0,13.0,-0.0,14.0,-0.0,1.0,14.0,287.809848785,1,431.410928011,431.739040136,433.055787086
1,3.0,12.0,8.0,13.0,-0.0,9.0,-0.0,1.0,9.0,454.123020172,1,442.058043957,442.552767038,443.936022997
1,3.0,12.0,9.0,13.0,-0.0,13.0,-0.0,1.0,13.0,837.428092957,1,451.688099146,452.566436052,453.716519117
1,3.0,12.0,10.0,13.0,-0.0,8.0,-0.0,1.0,8.0,620.966911316,1,462.153381109,462.813565016,465.446573973
1,4.0,13.0,1.0,-6.0,-16.0,-2.0,-16.0,2.0,-16.0,968.742847443,1,17.0401909351,18.0473709106,20.3143811226
1,4.0,13.0,2.0,-6.0,-16.0,-6.0,-16.0,1.0,-6.0,520.943880081,1,27.3515949249,27.9112620354,30.877986908
1,4.0,13.0,3.0,-6.0,-16.0,3.0,-16.0,1.0,3.0,471.032857895,1,39.2794249058,39.7910630703,41.1917009354
1,4.0,13.0,4.0,-6.0,-16.0,-12.0,-16.0,1.0,-12.0,387.455940247,1,50.2760629654,50.704668045,53.5709340572
1,4.0,13.0,5.0,-6.0,-16.0,-3.0,-16.0,1.0,-3.0,400.356054306,1,61.8900198936,62.334635973,63.7680299282
1,4.0,13.0,6.0,-6.0,-16.0,-4.0,-16.0,1.0,-4.0,403.558015823,1,71.6534180641,72.0985629559,74.0650770664
1,4.0,13.0,7.0,-6.0,-16.0,-9.0,-16.0,1.0,-9.0,620.828151703,1,83.2516820431,83.9118199348,86.577712059
1,4.0,13.0,8.0,-6.0,-16.0,-1.0,-16.0,1.0,-1.0,537.025928497,1,94.630975008,95.2087800503,96.6254041195
1,4.0,13.0,9.0,-6.0,-16.0,-14.0,-16.0,1.0,-14.0,554.151058197,1,104.611366034,105.20560813,106.838546991
1,4.0,13.0,10.0,-6.0,-16.0,-7.0,-16.0,1.0,-7.0,374.979019165,1,115.608181953,116.019256115,117.535954952
1,4.0,14.0,1.0,-6.0,-1.0,-5.0,1.0,1.0,-5.0,1404.68406677,3,131.738898993,133.180969,134.281260014
1,4.0,14.0,2.0,-6.0,-1.0,-10.0,5.0,1.0,-10.0,471.229791641,3,142.585307121,143.094818115,144.244919062
1,4.0,14.0,3.0,-6.0,-1.0,-3.0,7.0,2.0,7.0,469.240903854,3,152.364386082,152.873945951,155.407262087
1,4.0,14.0,4.0,-6.0,-1.0,-4.0,-2.0,2.0,-2.0,437.618970871,3,163.427812099,163.905548096,164.921889067
1,4.0,14.0,5.0,-6.0,-1.0,-12.0,7.0,2.0,7.0,517.093896866,3,174.041441917,174.602437019,177.035576105
1,4.0,14.0,6.0,-6.0,-1.0,-1.0,6.0,2.0,6.0,504.330158234,3,186.237968922,186.782289028,189.615195036
1,4.0,14.0,7.0,-6.0,-1.0,-14.0,-3.0,2.0,-3.0,404.152870178,3,197.951230049,198.395695925,200.4788239
1,4.0,14.0,8.0,-6.0,-1.0,0.0,3.0,2.0,3.0,420.736074448,3,208.914427042,209.375757933,212.125010967
1,4.0,14.0,9.0,-6.0,-1.0,-3.0,-3.0,2.0,-3.0,335.88719368,3,221.276832104,221.655324936,222.905817032
1,4.0,14.0,10.0,-6.0,-1.0,-5.0,4.0,2.0,4.0,437.516212463,3,230.958337069,231.436118126,233.552601099
1,4.0,15.0,1.0,4.0,3.0,4.0,3.0,1.0,4.0,622.07198143,4,248.504898071,249.164371014,251.230951071
1,4.0,15.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,354.159116745,4,259.051724911,259.444757938,260.761439085
1,4.0,15.0,3.0,4.0,3.0,4.0,3.0,1.0,4.0,487.689971924,4,268.780903101,269.308598995,272.074635029
1,4.0,15.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,354.58111763,4,281.092853069,281.488500118,283.938064098
1,4.0,15.0,5.0,4.0,3.0,4.0,3.0,1.0,4.0,454.061985016,4,293.290486097,293.784995079,296.701138973
1,4.0,15.0,6.0,4.0,3.0,4.0,3.0,1.0,4.0,667.055130005,4,305.120805025,305.829988003,307.714834929
1,4.0,15.0,7.0,4.0,3.0,4.0,3.0,1.0,4.0,337.600946426,4,316.533967018,316.911520958,318.844810963
1,4.0,15.0,8.0,4.0,3.0,4.0,3.0,1.0,4.0,387.752056122,4,327.164107084,327.591768026,330.491415024
1,4.0,15.0,9.0,4.0,3.0,4.0,3.0,1.0,4.0,520.596027374,4,339.393856049,339.954958916,342.438009977
1,4.0,15.0,10.0,4.0,3.0,4.0,3.0,1.0,4.0,654.114961624,4,349.857592106,350.551985979,352.03521204
1,4.0,16.0,1.0,20.0,-12.0,20.0,-18.0,1.0,20.0,1255.43212891,2,366.643155098,367.930339098,369.997384071
1,4.0,16.0,2.0,20.0,-12.0,20.0,-14.0,1.0,20.0,537.140846252,2,377.183860064,377.76068902,378.927278042
1,4.0,16.0,3.0,20.0,-12.0,20.0,-8.0,2.0,-8.0,537.582159042,2,387.212804079,387.791256905,390.308119059
1,4.0,16.0,4.0,20.0,-12.0,20.0,-9.0,1.0,20.0,437.605142593,2,398.626194954,399.104584932,400.771743059
1,4.0,16.0,5.0,20.0,-12.0,20.0,-14.0,1.0,20.0,370.751857758,2,409.922940969,410.334618092,412.151511908
1,4.0,16.0,6.0,20.0,-12.0,20.0,-16.0,1.0,20.0,354.320049286,2,420.387325048,420.781759977,423.381940126
1,4.0,16.0,7.0,20.0,-12.0,20.0,-15.0,1.0,20.0,402.507066727,2,431.483362913,431.928726912,433.046055079
1,4.0,16.0,8.0,20.0,-12.0,20.0,-16.0,1.0,20.0,337.84198761,2,441.064105034,441.442543983,443.992746115
1,4.0,16.0,9.0,20.0,-12.0,20.0,-10.0,1.0,20.0,353.73711586,2,452.444165945,452.838942051,455.289499044
1,4.0,16.0,10.0,20.0,-12.0,20.0,-16.0,1.0,20.0,470.811843872,2,463.590882063,464.102725983,465.969809055
1,5.0,17.0,1.0,12.0,5.0,12.0,0.0,1.0,12.0,1154.81591225,2,17.0302801132,18.2229089737,20.1234331131
1,5.0,17.0,2.0,12.0,5.0,12.0,13.0,2.0,13.0,407.871961594,2,27.5743880272,28.0200991631,30.2869570255
1,5.0,17.0,3.0,12.0,5.0,12.0,6.0,2.0,6.0,383.801937103,2,38.6872851849,39.1171631813,40.4010090828
1,5.0,17.0,4.0,12.0,5.0,12.0,12.0,1.0,12.0,354.325056076,2,48.6672019958,49.0641241074,51.5309560299
1,5.0,17.0,5.0,12.0,5.0,12.0,6.0,1.0,12.0,504.181146622,2,59.3979129791,59.9442901611,62.2279911041
1,5.0,17.0,6.0,12.0,5.0,12.0,6.0,1.0,12.0,487.061977386,2,70.2114500999,70.7412719727,73.6414091587
1,5.0,17.0,7.0,12.0,5.0,12.0,1.0,1.0,12.0,371.054887772,2,81.9581341743,82.3714160919,85.1714890003
