subject, block, trial, mu1, mu2, choice, reward, RT, cond 
1,22.0,10.0,6.0,4.0,1.0,4.0,420.982837677,1
1,23.0,1.0,-9.0,-0.0,2.0,-0.0,1488.62290382,4
1,23.0,2.0,-9.0,-0.0,1.0,-9.0,354.324102402,4
1,23.0,3.0,-9.0,-0.0,2.0,-0.0,554.317951202,4
1,23.0,4.0,-9.0,-0.0,2.0,-0.0,371.068000793,4
1,23.0,5.0,-9.0,-0.0,2.0,-0.0,537.488937378,4
1,23.0,6.0,-9.0,-0.0,2.0,-0.0,387.537956238,4
1,23.0,7.0,-9.0,-0.0,2.0,-0.0,387.699127197,4
1,23.0,8.0,-9.0,-0.0,2.0,-0.0,404.344081879,4
1,23.0,9.0,-9.0,-0.0,2.0,-0.0,437.927007675,4
1,23.0,10.0,-9.0,-0.0,2.0,-0.0,404.089927673,4
1,24.0,1.0,3.0,15.0,1.0,0.0,888.83805275,3
1,24.0,2.0,3.0,15.0,2.0,17.0,504.93311882,3
1,24.0,3.0,3.0,15.0,2.0,7.0,337.61715889,3
1,24.0,4.0,3.0,15.0,2.0,19.0,387.462854385,3
1,24.0,5.0,3.0,15.0,2.0,17.0,354.311943054,3
1,24.0,6.0,3.0,15.0,2.0,16.0,720.963001251,3
1,24.0,7.0,3.0,15.0,2.0,16.0,504.289865494,3
1,24.0,8.0,3.0,15.0,2.0,11.0,387.878894806,3
1,24.0,9.0,3.0,15.0,2.0,13.0,369.225978851,3
1,24.0,10.0,3.0,15.0,2.0,7.0,404.371976852,3
1,25.0,1.0,-8.0,9.0,2.0,9.0,872.284889221,1
1,25.0,2.0,-8.0,9.0,1.0,-6.0,854.074954987,1
1,25.0,3.0,-8.0,9.0,2.0,9.0,454.355955124,1
1,25.0,4.0,-8.0,9.0,2.0,9.0,337.719917297,1
1,25.0,5.0,-8.0,9.0,2.0,9.0,537.870168686,1
1,25.0,6.0,-8.0,9.0,2.0,9.0,337.520122528,1
1,25.0,7.0,-8.0,9.0,2.0,9.0,387.624025345,1
1,25.0,8.0,-8.0,9.0,2.0,9.0,337.35203743,1
1,25.0,9.0,-8.0,9.0,2.0,9.0,404.164075851,1
1,25.0,10.0,-8.0,9.0,2.0,9.0,387.267827988,1
1,26.0,1.0,-19.0,2.0,1.0,-28.0,1405.22193909,3
1,26.0,2.0,-19.0,2.0,2.0,-7.0,369.328022003,3
1,26.0,3.0,-19.0,2.0,2.0,9.0,320.842027664,3
